"[1.8625099290995664, 1.858739253920361, 1.8542506556651202, 1.846304658265825, 1.8446562845467376, 1.8429227051333055, 1.8381931832207916, 1.838060875845532, 1.830116501163088, 1.8297200196903118, 1.8280364982596367, 1.8195672986484106, 1.8158586136409576, 1.8147449037420103, 1.813667864118194, 1.8118565264393816, 1.8055404476679269, 1.8048514800936994, 1.7966147874307588, 1.7955825739789468]","[1.681493219207066, 1.660466145425494, 1.7226627030088961, 1.6710575727202117, 1.8297200196903118, 1.6604858137825176, 1.7521112883148515, 1.718472179844873, 1.5456868783768383, 1.813667864118194, 1.7370045842754904, 1.5077230339643284, 1.5470247079479686, 1.5677389867101277, 1.7370045842754904, 1.8297200196903118, 1.7604062704209602, 1.7226627030088961, 1.660466145425494, 1.660466145425494]","[1.8625099290995664, 1.660466145425494, 1.8542506556651202, 1.846304658265825, 1.8297200196903118, 1.6604858137825176, 1.7521112883148515, 1.718472179844873, 1.5456868783768383, 1.8297200196903118, 1.8280364982596367, 1.5077230339643284, 1.5470247079479686, 1.8147449037420103, 1.813667864118194, 1.8118565264393816, 1.8055404476679269, 1.8048514800936994, 1.7966147874307588, 1.660466145425494]",1.3839494465181983,8.602430582046509,200,10,5,20
"[1.4415683262214567, 1.4346044431583251, 1.4170475845714412, 1.4119082549795239, 1.375191636972722, 1.374303091397472, 1.3510971143708428, 1.3458261783179666, 1.3418236243385964, 1.3413249304790573, 1.3326413541683737, 1.3256056462961319, 1.32547288834023, 1.3215822169137967, 1.3185034558458992, 1.308392450957108, 1.301021420746883, 1.3004999120320981, 1.3004927324252646, 1.300414612635991]","[1.0716511346104038, 1.07332742297261, 1.2293909264658376, 1.293669904845605, 1.1865887442430212, 1.2391658396020944, 1.2150052489773928, 1.4119082549795239, 1.3418236243385964, 1.0497608226748414, 1.2081184024774674, 1.225153348281603, 1.1790498632696231, 1.1965135589725089, 1.2101028275733052, 1.2101028275733052, 0.9863713940717831, 1.0937873365805413, 1.1378044673250687, 1.1469311862343066]","[1.4415683262214567, 1.07332742297261, 1.4170475845714412, 1.293669904845605, 1.1865887442430212, 1.2391658396020944, 1.3510971143708428, 1.3458261783179666, 1.3418236243385964, 1.3413249304790573, 1.2081184024774674, 1.225153348281603, 1.32547288834023, 1.3215822169137967, 1.2101028275733052, 1.308392450957108, 0.9863713940717831, 1.3004999120320981, 1.1378044673250687, 1.1469311862343066]",0.6390262975356461,8.589226484298706,200,10,5,20
"[1.6757022569259081, 1.6576542157896383, 1.6431586750653542, 1.633513617772472, 1.6211841292165792, 1.6078397598997698, 1.5941683039622143, 1.5766110924263104, 1.5761038118929234, 1.568914459627205, 1.5573502285470173, 1.5573101096815085, 1.5555397359581458, 1.5517295459204594, 1.550833419193622, 1.547245434361254, 1.5303432312708816, 1.5282266556265307, 1.5241223061734073, 1.5185865346996457]","[1.2797244988653083, 1.3269383343636565, 1.4845034702473976, 1.4324117325446322, 1.353993284373285, 1.568914459627205, 1.5072624527319611, 1.420690902014939, 1.441291522438119, 1.2158949872462261, 1.24693900057024, 1.5073335865354567, 1.5282266556265307, 1.441291522438119, 1.5058178156422293, 1.5075617068394043, 1.2797244988653083, 1.5941683039622143, 1.6078397598997698, 1.3737843879990623]","[1.2797244988653083, 1.3269383343636565, 1.4845034702473976, 1.633513617772472, 1.353993284373285, 1.568914459627205, 1.5072624527319611, 1.420690902014939, 1.5761038118929234, 1.568914459627205, 1.24693900057024, 1.5573101096815085, 1.5555397359581458, 1.5517295459204594, 1.550833419193622, 1.5075617068394043, 1.5303432312708816, 1.5282266556265307, 1.6078397598997698, 1.5185865346996457]",0.7690718923597235,8.571975946426392,200,10,5,20
"[1.6814094839333962, 1.6576410745806782, 1.6371498048699589, 1.6295220421598153, 1.6258685151572614, 1.6195163507499113, 1.6176906867412633, 1.6176772291459693, 1.6146056198297443, 1.6135084034880909, 1.6127840864689418, 1.6108018342214032, 1.609354872870747, 1.6081497889330096, 1.6062196617029783, 1.6022624617606789, 1.5963305123645088, 1.5943720260965284, 1.592643763512277, 1.590962795661127]","[1.5419733126101056, 1.3677011875112863, 1.529339210408986, 1.4278094002677864, 1.563033432687873, 1.5456899058349376, 1.4177193892116071, 1.4867431796774735, 1.3824253639634567, 1.4802622525009765, 1.4380310543159094, 1.4177193892116071, 1.3914175748032578, 1.4264855688915954, 1.380355803906752, 1.4931304847767253, 1.557263588270568, 1.5399748319616489, 1.6814094839333962, 1.52893249206726]","[1.6814094839333962, 1.6576410745806782, 1.529339210408986, 1.4278094002677864, 1.6258685151572614, 1.5456899058349376, 1.6176906867412633, 1.6176772291459693, 1.3824253639634567, 1.4802622525009765, 1.4380310543159094, 1.4177193892116071, 1.609354872870747, 1.4264855688915954, 1.6062196617029783, 1.6022624617606789, 1.5963305123645088, 1.5943720260965284, 1.6814094839333962, 1.590962795661127]",1.2072876265170407,8.581757307052612,200,10,5,20
"[1.777935035913654, 1.7635513437831074, 1.7623128204471938, 1.7533555442653574, 1.7347478696117697, 1.733474495982037, 1.7327364442303628, 1.7319599555332783, 1.7315905535603007, 1.731194600571569, 1.728883930555937, 1.7213920411532821, 1.7185500737261385, 1.7140738471104522, 1.7072403951596185, 1.7064453377974873, 1.7027471884102057, 1.6971920885741671, 1.6918236709715118, 1.6911629748215853]","[1.6096149207395591, 1.6809668886548494, 1.588356154893252, 1.3740374537742406, 1.5879461366087044, 1.648036007148148, 1.6096149207395591, 1.4780106375029112, 1.4304397294478741, 1.5593362497573964, 1.565001642120126, 1.544578324462011, 1.6346972081044862, 1.638639871733584, 1.5402282431702752, 1.4781579668065967, 1.6674286132739269, 1.5804502599999932, 1.440145971491832, 1.5155855700402878]","[1.777935035913654, 1.6809668886548494, 1.7623128204471938, 1.3740374537742406, 1.5879461366087044, 1.733474495982037, 1.6096149207395591, 1.7319599555332783, 1.4304397294478741, 1.5593362497573964, 1.728883930555937, 1.7213920411532821, 1.6346972081044862, 1.638639871733584, 1.7072403951596185, 1.4781579668065967, 1.6674286132739269, 1.5804502599999932, 1.6918236709715118, 1.5155855700402878]",1.2795621783913105,8.575923681259155,200,10,5,20
"[1.6867566838841201, 1.6498186931569565, 1.6438601512603517, 1.6365728886978435, 1.6345659927302583, 1.6342027727866746, 1.633892294061325, 1.6312671131172678, 1.626528611660957, 1.6260257503113433, 1.6258830111027207, 1.6251946283959846, 1.615529729800663, 1.6112052938432688, 1.6087662376111465, 1.606092093314539, 1.606039181298247, 1.6000758533154853, 1.5995028262517095, 1.5929496164914116]","[1.4399636882480917, 1.575241267835154, 1.6087662376111465, 1.4188977579358635, 1.497188829396892, 1.4559738726475284, 1.5721787265146934, 1.500300511956732, 1.6112052938432688, 1.452225177119001, 1.5621307851671182, 1.4645903138202754, 1.5555860999686457, 1.497188829396892, 1.5140608483691886, 1.626528611660957, 1.3134031418011958, 1.4323454873861141, 1.5995028262517095, 1.4261775557144538]","[1.4399636882480917, 1.6498186931569565, 1.6087662376111465, 1.4188977579358635, 1.6345659927302583, 1.4559738726475284, 1.633892294061325, 1.500300511956732, 1.6112052938432688, 1.6260257503113433, 1.6258830111027207, 1.6251946283959846, 1.615529729800663, 1.497188829396892, 1.6087662376111465, 1.606092093314539, 1.3134031418011958, 1.6000758533154853, 1.5995028262517095, 1.4261775557144538]",1.161860327631654,8.563334703445435,200,10,5,20
"[1.6963093315495126, 1.6802925436282903, 1.674759022319851, 1.6623894166658189, 1.644210467227021, 1.6232029639755234, 1.62198324117566, 1.6214346574059986, 1.6213448582077825, 1.6213230360686843, 1.6213055311640026, 1.617779454708314, 1.6148912222978375, 1.6116091800544459, 1.6090806952569996, 1.605755633061575, 1.6006775610815647, 1.5969896099283123, 1.5965312486568846, 1.596350436588104]","[1.511530885002029, 1.4534756920166514, 1.4963551576411, 1.446507756633383, 1.5422298753731878, 1.4996567117988018, 1.5422298753731878, 1.3463522476365304, 1.4537920352723, 1.6213230360686843, 1.3937557147040618, 1.4794425094515518, 1.1016599101624673, 1.6232029639755234, 1.5587253395616416, 1.521351047821225, 1.3675322862441208, 1.4298233799946862, 1.3183807339235134, 1.342285268290996]","[1.511530885002029, 1.4534756920166514, 1.4963551576411, 1.6623894166658189, 1.644210467227021, 1.4996567117988018, 1.62198324117566, 1.3463522476365304, 1.4537920352723, 1.6213230360686843, 1.3937557147040618, 1.617779454708314, 1.1016599101624673, 1.6232029639755234, 1.5587253395616416, 1.521351047821225, 1.6006775610815647, 1.5969896099283123, 1.5965312486568846, 1.596350436588104]",1.0315162179107953,8.943321228027344,200,10,5,20
"[1.5499999999998562, 1.5254184199877217, 1.4813660811266938, 1.469139185269194, 1.4499999999999988, 1.4316572630209077, 1.4296924400806292, 1.4249999999996208, 1.4249999999995588, 1.4221695441658564, 1.4212937804344035, 1.4201379620422132, 1.419636874855722, 1.4180740691677711, 1.4179280457296706, 1.4177352640443768, 1.412024306073023, 1.4033897741813313, 1.4, 1.3999999999999138]","[1.3681459830493359, 1.1630370407227613, 1.225738589581953, 1.4201379620422132, 1.261684926740956, 1.3884348005479228, 1.2636400431331842, 1.3884348005479228, 1.1346615261738857, 1.1746136900070392, 1.3690872077797764, 1.2999999999998855, 1.197051184133705, 1.3575704164667424, 1.2456300397489302, 1.1059328071331054, 1.231476669306558, 1.2636400431331842, 1.3839354670800197, 1.264531682871252]","[1.3681459830493359, 1.1630370407227613, 1.225738589581953, 1.4201379620422132, 1.261684926740956, 1.3884348005479228, 1.2636400431331842, 1.4249999999996208, 1.4249999999995588, 1.4221695441658564, 1.3690872077797764, 1.4201379620422132, 1.197051184133705, 1.4180740691677711, 1.2456300397489302, 1.4177352640443768, 1.231476669306558, 1.4033897741813313, 1.3839354670800197, 1.3999999999999138]",0.8042485265146183,9.195502519607544,200,10,5,20
"[1.7747520251881315, 1.7739042872988064, 1.7419904152103274, 1.73820280049778, 1.7259092577817894, 1.7223402675955681, 1.7212648220834765, 1.7147757132194217, 1.7092057176893238, 1.7082252454480182, 1.7067198950815954, 1.7035244432923755, 1.7024700121537661, 1.7018493715736647, 1.6998680029165494, 1.699329890045567, 1.697251952299862, 1.684824245732955, 1.6789596818229962, 1.6775391073787043]","[1.554187990634266, 1.5767962405648057, 1.5619948728504403, 1.5828590156830606, 1.564326679395318, 1.7212648220834765, 1.4261631008053395, 1.655050093888339, 1.6003358954901528, 1.4904430004234124, 1.5646622144327331, 1.5364419529328242, 1.5200728252477504, 1.5746298696204162, 1.5646622144327331, 1.5079984708116336, 1.6044096620557056, 1.7024700121537661, 1.6517133126982535, 1.383339619698604]","[1.7747520251881315, 1.5767962405648057, 1.7419904152103274, 1.73820280049778, 1.564326679395318, 1.7223402675955681, 1.4261631008053395, 1.655050093888339, 1.7092057176893238, 1.7082252454480182, 1.5646622144327331, 1.5364419529328242, 1.5200728252477504, 1.7018493715736647, 1.6998680029165494, 1.5079984708116336, 1.697251952299862, 1.684824245732955, 1.6789596818229962, 1.383339619698604]",1.2550256827936834,8.833403825759888,200,10,5,20
"[1.8284660840838394, 1.8040937206922545, 1.8002530511422679, 1.7983923563213877, 1.7894012695827173, 1.7873918509636084, 1.780482670776505, 1.7801398260914, 1.765166166901263, 1.7649609280189074, 1.7623192521885476, 1.7618259599527133, 1.7613001645573254, 1.7600333652715714, 1.754446151537457, 1.7540112856585939, 1.752345366829978, 1.7505850438532844, 1.7503638407237112, 1.7496252177715945]","[1.7196449482179572, 1.3220995919310135, 1.6110257473032887, 1.6404069156727652, 1.6137723205966823, 1.7162748395822758, 1.671512977319373, 1.6717306870866244, 1.7196449482179572, 1.6110257473032887, 1.6516043927606077, 1.7873918509636084, 1.5873867250366411, 1.589516582455316, 1.520867949250813, 1.5438837150901084, 1.520867949250813, 1.520867949250813, 1.5846222294924213, 1.6997722202402157]","[1.8284660840838394, 1.3220995919310135, 1.6110257473032887, 1.7983923563213877, 1.7894012695827173, 1.7162748395822758, 1.671512977319373, 1.7801398260914, 1.7196449482179572, 1.7649609280189074, 1.6516043927606077, 1.7873918509636084, 1.5873867250366411, 1.589516582455316, 1.520867949250813, 1.7540112856585939, 1.752345366829978, 1.7505850438532844, 1.7503638407237112, 1.6997722202402157]",1.295470158245812,8.676356077194214,200,10,5,20
"[2.9710381902056966, 2.893654539136712, 2.8854281245076754, 2.8747998406661597, 2.865863459416616, 2.8281294835803354, 2.8166888409593143, 2.814885318153211, 2.803607116513758, 2.7896545833280375, 2.774878310663285, 2.7620693009054986, 2.7620462843720452, 2.756745949094227, 2.7494441597831694, 2.748817507585219, 2.7466705403870293, 2.7435489350596582, 2.74133901771668, 2.739952402801003]","[2.2070760331163704, 2.229886600242726, 2.5798653504421565, 2.4061477854102953, 2.5712659790877965, 2.524371679366464, 2.419856292688675, 2.515778960641719, 2.4534339486307086, 2.5712659790877965, 2.426546253261486, 2.5248565259489557, 2.5791600462387927, 2.7620693009054986, 2.774878310663285, 2.623524525707053, 2.385760504554374, 2.756745949094227, 2.8854281245076754, 2.572804196258355]","[2.9710381902056966, 2.229886600242726, 2.8854281245076754, 2.4061477854102953, 2.5712659790877965, 2.524371679366464, 2.419856292688675, 2.814885318153211, 2.4534339486307086, 2.7896545833280375, 2.426546253261486, 2.7620693009054986, 2.5791600462387927, 2.756745949094227, 2.774878310663285, 2.623524525707053, 2.7466705403870293, 2.756745949094227, 2.74133901771668, 2.739952402801003]",1.9254853897389208,13.287309885025024,200,10,10,20
"[3.04835382565324, 3.0109727689172012, 2.9587306700048708, 2.910665814223864, 2.9050080869138704, 2.8938641357245545, 2.8933351067534288, 2.8903026866361707, 2.8825202489287696, 2.8742937366132493, 2.873710465638237, 2.8656627601312272, 2.8584772195642505, 2.853781321584784, 2.842446880246319, 2.8398658358608158, 2.837326475259747, 2.830225241934225, 2.82678092617621, 2.8202676371879924]","[2.7453893136772733, 2.313756202361055, 2.54786630260935, 2.6539403291298767, 2.702951585378479, 2.5376571184114636, 2.7346691867999104, 2.3359543847460795, 2.6622269830412066, 2.497855997852764, 2.435073327832528, 2.7229177509730698, 2.5926040651162423, 2.667073899240135, 2.6349542689313314, 2.817991587124364, 2.494578240500355, 2.43938590913801, 2.784648597957249, 2.6365599583780277]","[2.7453893136772733, 2.313756202361055, 2.9587306700048708, 2.6539403291298767, 2.9050080869138704, 2.8938641357245545, 2.7346691867999104, 2.3359543847460795, 2.8825202489287696, 2.8742937366132493, 2.873710465638237, 2.8656627601312272, 2.8584772195642505, 2.853781321584784, 2.842446880246319, 2.8398658358608158, 2.494578240500355, 2.830225241934225, 2.82678092617621, 2.6365599583780277]",2.17947017352127,13.269002437591553,200,10,10,20
